Name,Title,Unit,YearsExperience
Shane Steichen,Head Coach,Head Coach,20
Lou Anarumo,Defensive Coordinator,Defense,38
Jim Bob Cooter,Offensive Coordinator,Offense,20
Brian Mason,Special Teams Coordinator,Special Teams,20
James Bettcher,Linebackers Coach,Defense,23
Joe Hastings,Sr. Assistant Special Teams Coach,Special Teams,11
Jerome Henderson,Defensive Backs Coach,Defense,21
Chris Hewitt,Pass Game Coordinator / Secondary Coach,Defense,24
Marion Hobby,Defensive Line Coach,Defense,32
Kalon Humphries,Assistant Defensive Line Coach,Defense,12
Cato June,Assistant Linebackers Coach,Defense,16
Tom Manning,Tight Ends Coach,Offense,21
DeAndre Smith,Running Backs Coach,Offense,27
Tony Sparano Jr.,Offensive Line Coach,Offense,17
Alex Tanney,Passing Game Coordinator,Offense,6
Cam Turner,Quarterbacks Coach,Offense,17
Chris Watt,Assistant Offensive Line Coach,Offense,7
Reggie Wayne,Wide Receivers Coach,Offense,5
